# HOMER Peaks
# Peak finding parameters:
# tag directory = TagDir_chp212_2_14508020_18508849
#
# total peaks = 32
# peak size = 500
# peaks found using tags on both strands
# minimum distance between peaks = 1000
# fragment length = 118
# genome size = 18508731
# Total tags = 38308.0
# Total tags in peaks = 35443.5
# Approximate IP efficiency = 92.52%
# tags per bp = 0.002069
# expected tags per peak = 1.035
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 1.482979e-06
# FDR tag threshold = 9.0
# number of putative peaks = 14347
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks TagDir_chp212_2_14508020_18508849 -o Regions_chp212_2_14508020_18508849.txt -style histone -fdr 0.001 -regionRes 20
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Clonal Fold Change
2-14183	2	15940434	16158474	+	4314764.5	218040.000	9.500000	0.97
2-14290	2	15850250	15939782	+	1340712.1	89532.000	9.000000	0.96
2-11885	2	15752747	15816007	+	1161376.2	63260.000	16.500000	0.96
2-13846	2	16159521	16212815	+	946799.6	53294.000	11.000000	0.99
2-13362	2	15722945	15751822	+	498198.8	28877.000	12.500000	0.95
2-6673	2	16474329	16495558	+	233502.1	21229.000	30.500000	0.99
2-4032	2	17895994	17901967	+	164978.6	5973.000	40.500000	0.94
2-13788	2	15832205	15849637	+	138221.8	17432.000	11.000000	0.96
2-13904	2	15825515	15831545	+	92669.9	6030.000	10.500000	0.95
2-7780	2	18160078	18165409	+	80531.5	5331.000	27.500000	0.97
2-11657	2	16630961	16635884	+	45029.8	4923.000	17.500000	0.98
2-5237	2	16262998	16264755	+	39286.8	1757.000	35.000000	0.95
2-7429	2	17608136	17611573	+	36676.4	3437.000	28.500000	0.96
2-3227	2	15523102	15524576	+	30150.4	1474.000	44.500000	0.95
2-13539	2	15816722	15820141	+	24146.4	3419.000	12.000000	0.96
2-5537	2	16780919	16782311	+	19186.6	1392.000	34.000000	0.96
2-14335	2	17222907	17226848	+	15923.6	3941.000	9.000000	0.94
2-13636	2	15503459	15505400	+	12269.0	1941.000	11.500000	0.96
2-12506	2	15821555	15822837	+	9267.0	1282.000	15.000000	0.98
2-14277	2	15823485	15824836	+	7309.2	1351.000	9.000000	0.95
2-14126	2	15690686	15692192	+	5742.9	1506.000	9.500000	0.80
2-14258	2	17363270	17364133	+	4959.8	863.000	9.500000	0.99
2-14347	2	17916129	17917049	+	4829.3	920.000	9.000000	0.99
2-13016	2	18166485	18167011	+	3654.6	526.000	14.000000	0.99
2-14261	2	15295924	15296621	+	3002.0	697.000	9.000000	0.94
2-13635	2	15297156	15297689	+	2871.5	533.000	11.500000	0.99
2-14343	2	17230205	17230916	+	2871.5	711.000	9.000000	0.99
2-14245	2	17218479	17219054	+	2740.9	575.000	9.500000	0.94
2-14342	2	17228822	17229448	+	2740.9	626.000	9.000000	0.99
2-14263	2	15298271	15298922	+	2610.4	651.000	9.000000	0.99
2-14333	2	17220768	17221388	+	2610.4	620.000	9.000000	0.99
2-14121	2	17529481	17530006	+	2610.4	525.000	10.000000	0.94
